도서관명,구분,시군구,개관년도,주소,상세주소,위도,경도,전화번호,홈페이지,개관시간,휴관일,국내서_총류,국내서_철학,국내서_종교,국내서_사회과학,국내서_순수과학,국내서_기술과학,국내서_예술,국내서_언어,국내서_문학,국내서_역사,국내서_합계,국외서_총류,국외서_철학,국외서_종교,국외서_사회과학,국외서_순수과학,국외서_기술과학,국외서_예술,국외서_언어,국외서_문학,국외서_역사,국외서_합계,연간증가자료수_도서자료_구입,연간증가자료수_도서자료_기증,연간증가자료수_전자자료_구입,연간증가자료수_전자자료_기증,면적_도서관 서비스 제공 면적,좌석수_총 좌석수,좌석수_어린이 열람석,좌석수_노인 및 장애인 열람석,설비_이용자용컴퓨터수,연령별 회원등록자 수_어린이,연령별 회원등록자 수_청소년,연령별 회원등록자 수_성인,가족단위회원등록자수,이용자수_도서관방문자수,인쇄자료_대출_어린이,인쇄자료_대출_청소년,인쇄자료_대출_성인,인쇄자료_대출_합계,전자자료_이용_어린이,전자자료_이용_청소년,전자자료_이용_성인,전자자료_이용_합계,인쇄자료_어린이_총류,인쇄자료_어린이_철학,인쇄자료_어린이_종교,인쇄자료_어린이_사회과학,인쇄자료_어린이_순수과학,인쇄자료_어린이_기술과학,인쇄자료_어린이_예술,인쇄자료_어린이_언어,인쇄자료_어린이_문학,인쇄자료_어린이_역사,인쇄자료_어린이_합계,인쇄자료_청소년_총류,인쇄자료_청소년_철학,인쇄자료_청소년_종교,인쇄자료_청소년_사회과학,인쇄자료_청소년_순수과학,인쇄자료_청소년_기술과학,인쇄자료_청소년_예술,인쇄자료_청소년_언어,인쇄자료_청소년_문학,인쇄자료_청소년_역사,인쇄자료_청소년_합계,인쇄자료_성인_총류,인쇄자료_성인_철학,인쇄자료_성인_종교,인쇄자료_성인_사회과학,인쇄자료_성인_순수과학,인쇄자료_성인_기술과학,인쇄자료_성인_예술,인쇄자료_성인_언어,인쇄자료_성인_문학,인쇄자료_성인_역사,인쇄자료_성인_합계,전자자료_어린이_총류,전자자료_어린이_철학,전자자료_어린이_종교,전자자료_어린이_사회과학,전자자료_어린이_순수과학,전자자료_어린이_기술과학,전자자료_어린이_예술,전자자료_어린이_언어,전자자료_어린이_문학,전자자료_어린이_역사,전자자료_어린이_합계,전자자료_청소년_총류,전자자료_청소년_철학,전자자료_청소년_종교,전자자료_청소년_사회과학,전자자료_청소년_순수과학,전자자료_청소년_기술과학,전자자료_청소년_예술,전자자료_청소년_언어,전자자료_청소년_문학,전자자료_청소년_역사,전자자료_청소년_합계,전자자료_성인_총류,전자자료_성인_철학,전자자료_성인_종교,전자자료_성인_사회과학,전자자료_성인_순수과학,전자자료_성인_기술과학,전자자료_성인_예술,전자자료_성인_언어,전자자료_성인_문학,전자자료_성인_역사,전자자료_성인_합계,어린이실,어린이 서비스 이용수,어린이 자료(인쇄)수,어린이 연간 증가 자료(인쇄)수,전자저널,전자도서,오디오북,웹데이터베이스,전자_기타,전자자료_합계,인쇄자료_합계,총류,철학,종교,사회과학,순수과학,기술과학,예술,언어,문학,역사
남산타운어린이도서관,공공(어린이),중구,2011-01-01,"서울특별시 중구 다산로 32 (신당동, 남산타운)",남산타운문화체육센터 2층 어린이도서관,37.54949484,127.0088734,02-2230-2941,https://www.junggulib.or.kr/,"평일(월~금) 09:00~22:00 , 주말(토, 일) 09:00~18:00","1,3주 월요일/2,4주 일요일 /법정 공휴일",655,808,179,3505,2549,2006,721,538,16396,1979,29336,185,28,15,157,265,40,54,2193,4247,160,7344,2312,0,1687,0,226.62,65,65.0,0,2,1105,74,6141,0.0,39553,3314,549,11879,15742,0,0,297,297,264,128,26,721,1247,420,152,1595,8114,978,13645,38,31,6,91,160,83,26,112,1296,156,1999,559,663,96,3271,3556,1758,686,3289,24658,2564,41100,0,0,0,22,0,0,0,0,73,2,97,0,4,0,8,4,0,0,0,13,3,32,27,225,20,564,69,84,33,42,945,88,2097,유,-1.0,-1.0,-1.0,0,172763,0,0,0,172763,36680,840,836,194,3662,2814,2046,775,2731,20643,2139
내를건너서숲으로도서관,공공(일반),은평구,2018-01-01,서울특별시 은평구 증산로17길 50 (신사동),내를 건너서 숲으로 도서관,37.59169634,126.908048,02-307-6701,https://www.nslib.or.kr/,09:00-22:00,월요일,1949,3054,1175,8799,2865,4550,2553,805,33573,3425,62748,0,1,0,28,59,3,3,1,817,6,918,3955,351,166,0,1064.74,220,41.0,12,11,5131,4444,129533,-1.0,276290,6682,2563,53622,62867,0,9,315,324,238,287,110,972,1219,489,270,354,5134,599,9672,105,142,39,326,309,205,124,82,1764,184,3280,2405,5117,1331,10674,4089,4946,2748,1799,32887,3947,69943,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,3,1,1,0,15,1,29,214,0,5,406,44,63,29,28,711,75,1575,유,48153.0,19917.0,962.0,0,11857,1220,0,0,13077,63666,1949,3055,1175,8827,2924,4553,2556,806,34390,3431
노원어린이도서관,공공(어린이),노원구,2003-01-01,서울특별시 노원구 한글비석로 346 (중계동),노원어린이도서관,37.65795038,127.07638,02-933-7145,http://www.nowonlib.kr,09:00~18:00(주말 09:00~17:00),"2, 4주 월요일",2031,1604,744,7195,6703,2467,1488,2942,29119,5591,59884,76,4,34,247,603,5,25,4636,2654,285,8569,3189,10,562,0,971.27,113,113.0,3,6,1485,2177,14256,0.0,259549,2021,706,7111,9838,2,2,779,783,893,653,1033,3249,5890,1620,725,6272,23473,4012,47820,169,130,94,531,918,251,40,1536,4537,802,9008,2774,1816,2548,9892,14320,4572,1740,11696,56152,8727,114237,0,4,48,14,3,0,1,5,761,50,886,0,2,0,3,0,1,0,0,89,7,102,70,1013,147,2308,129,402,66,73,3133,226,7567,유,-1.0,-1.0,-1.0,0,9449,870,0,100,10419,68453,2107,1608,778,7442,7306,2472,1513,7578,31773,5876
노원중앙도서관,공공(일반),노원구,2006-01-01,서울특별시 노원구 노원로34길 43 (상계동),노원중앙도서관,37.66109973,127.0650094,02-950-0050,http://www.nowonlib.kr,동절기(11-2월) : 08:00~23:00 / 하절기 : 07:00~23:00,"매월 첫째,셋째 월요일",6796,10202,6215,29775,9821,13352,14079,4619,62257,12549,169665,25,43,30,179,229,54,65,2343,3557,180,6705,9829,652,562,0,3024.91,683,58.0,10,75,2036,5109,92582,-1.0,724124,2129,1857,23472,27458,2,2,779,783,833,651,405,3720,4340,1256,1042,2298,24182,2606,41333,448,473,108,1498,1603,824,542,334,8335,926,15091,9074,16237,6150,45508,15769,17887,10504,8989,124559,16536,271213,0,4,48,14,3,0,1,5,761,50,886,0,2,0,3,0,1,0,0,89,7,102,70,1013,147,2308,129,402,66,73,3133,226,7567,유,16983.0,56297.0,2426.0,0,9449,870,0,100,10419,176370,6821,10245,6245,29954,10050,13406,14144,6962,65814,12729
논현도서관,공공(일반),강남구,1997-01-01,서울특별시 강남구 학동로43길 17 (논현동),논현2동주민센터 6층 논현도서관,37.51727791,127.0371879,02-3443-7650,https://library.gangnam.go.kr/nhlib/index.do,"[자료실] 평일 09:00-22:00, 주말 09:00-17:00 / [열람실] 07:00-22:00",매주 화요일 및 법정공휴일,1537,2338,646,5675,3152,4461,1333,996,23644,3032,46814,100,10,0,48,77,74,7,528,2629,11,3484,2774,477,2845,0,444.44,129,29.0,2,4,531,807,24149,-1.0,228500,2729,840,12424,15993,1,26,1168,1195,668,499,485,1679,2955,1523,325,1155,11739,1761,22789,106,159,51,371,495,491,114,127,2263,395,4572,1931,3746,1179,9201,5792,5213,1967,2568,33623,4946,70166,7,7,1,18,3,10,3,2,21,4,76,5,13,0,29,17,8,2,2,69,5,150,810,1759,202,3720,366,941,334,376,11810,545,20863,유,95053.0,25091.0,1513.0,0,360106,5595,0,0,365701,50298,1637,2348,646,5723,3229,4535,1340,1524,26273,3043
논현문화마루도서관,공공(일반),강남구,2024-01-01,서울특별시 강남구 논현로131길 40 (논현동),4~5층 논현문화마루도서관,37.51384422,127.0271069,02-512-8580,https://library.gangnam.go.kr/nmmlib,[평일] (4층) 09:00~22:00 / (5층) 09:00~18:00 [주말] 09:00~17:00,"매월 월요일, 법정공휴일(일요일 제외)",683,793,362,2462,1504,1425,975,635,10531,2054,21424,31,16,0,12,46,8,13,0,640,15,781,2948,168,2845,0,840.88,133,81.0,1,18,140,38,1793,-1.0,171621,2172,752,10742,13666,1,26,1168,1195,364,420,459,1273,2500,861,337,463,10346,1757,18780,75,92,44,217,259,109,42,60,1181,307,2386,1858,3284,1227,7798,5118,3720,2166,1561,31954,6879,65565,7,7,1,18,3,10,3,2,21,4,76,5,13,0,29,17,8,2,2,69,5,150,810,1759,202,3720,366,941,334,376,11810,545,20863,유,19251.0,9511.0,1426.0,1711,360106,5595,0,0,367412,22205,714,809,362,2474,1550,1433,988,635,11171,2069
다산성곽도서관,공공(일반),중구,2021-01-01,서울특별시 중구 동호로17길 173 (신당동),다산성곽도서관,37.55163335,127.0043894,02-2230-2965,http://www.junggulib.or.kr,09:00~22:00,매주 월요일 및 일요일을 제외한 법정공휴일,596,1003,265,2535,1689,1510,936,347,7806,1365,18052,0,0,0,0,0,0,0,0,0,0,0,2961,85,1687,0,937.0,80,18.0,0,1,94,44,1991,-1.0,58652,283,86,3435,3804,0,0,297,297,52,81,64,285,298,253,64,85,1418,237,2837,5,16,1,47,31,28,17,10,177,20,352,787,1561,351,2893,1404,1635,724,513,9800,1474,21142,0,0,0,22,0,0,0,0,73,2,97,0,4,0,8,4,0,0,0,13,3,32,28,229,20,593,72,84,33,42,1031,93,2225,유,6563.0,7796.0,1339.0,0,172763,0,0,0,172763,18052,596,1003,265,2535,1689,1510,936,347,7806,1365
달빛마루도서관,공공(일반),성북구,2012-01-01,"서울특별시 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티)",달빛마루도서관,37.60505817,127.0309905,02-911-0993,https://www.sblib.seoul.kr/dblib/,"09:00~18:00, 매주 수요일 09:00~21:00","매월 1,3번째 월요일, 법정공휴일",1909,2407,594,7290,3846,4111,2333,640,31098,4835,59063,1,22,3,127,28,12,12,185,1691,33,2114,1935,53,458,0,737.97,191,102.0,1,12,569,2074,16236,-1.0,80210,503,355,6081,6939,0,0,54984,54984,120,168,46,336,821,350,122,133,3669,590,6355,37,94,14,199,213,108,58,22,1063,279,2087,1009,2246,463,4469,3278,2884,1366,740,24021,3441,43917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7842,0,132,10938,1270,2389,779,1289,29058,1287,54984,유,1806.0,27782.0,711.0,0,9991,1644,0,0,11635,61177,1910,2429,597,7417,3874,4123,2345,825,32789,4868
대림도서관,공공(일반),영등포구,2007-01-01,서울특별시 영등포구 도신로 27 (대림동),대림도서관,37.50431669,126.8960768,02-828-3700,https://www.ydplib.or.kr/drlib/index.do,평일 09:00~22:00 / 주말 09:00~17:00,"매주 월요일, 법정 공휴일",1883,3611,1089,9678,3511,5172,5746,1461,26945,4626,63722,38,86,14,215,240,68,20,1279,4047,135,6142,5488,10,101,0,1722.89,351,57.0,1,7,825,767,53997,-1.0,148210,1355,490,10963,12808,0,0,15095,15095,918,799,549,2484,3565,1278,561,2220,19265,2454,34093,169,192,98,512,539,231,109,258,3912,509,6529,3834,6628,2254,17516,9656,8031,4116,6858,68765,8818,136476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,2339,358,13373,1128,5041,2069,774,16810,2355,44796,유,40219.0,27833.0,2442.0,220,140574,2722,0,3,143519,69864,1921,3697,1103,9893,3751,5240,5766,2740,30992,4761
대방어린이도서관,공공(어린이),동작구,2014-01-01,서울특별시 동작구 대방동길 55 (대방동),대방어린이도서관,37.51310982,126.9311477,02-813-6740,http://lib.dongjak.go.kr,09:00~18:00 / 주말 09:00~17:00,매주 월요일,858,719,353,3422,2881,1292,516,588,15008,2028,27665,24,3,21,81,287,34,46,749,2791,106,4142,2911,14,2826,0,179.93,56,56.0,2,1,1120,1617,9078,1690.0,41219,1698,606,6047,8351,1862,664,6629,9155,371,351,244,2001,2585,794,347,1387,17739,1505,27324,103,85,36,447,625,223,80,305,4926,314,7144,1220,1377,602,7246,6859,2520,930,2725,45061,3877,72417,32,30,21,171,221,68,30,119,1519,129,2340,9,7,3,38,54,19,7,26,422,27,612,104,118,52,621,587,216,80,233,3860,332,6203,유,-1.0,-1.0,-1.0,0,24930,7690,0,0,32620,31807,882,722,374,3503,3168,1326,562,1337,17799,2134
대치도서관,공공(일반),강남구,1999-01-01,"서울특별시 강남구 삼성로 212 (대치동, 은마아파트)",복지상가 215호,37.49961577,127.0659154,02-565-6666,http://library.gangnam.go.kr/,"자료실(월~금:09:00~21:00/ 토·일: 09:00~17:00), 열람실(월~일: 06:00~21:00)","매주 화요일, 법정공휴일 (일요일 제외)",2331,5321,921,7173,3697,3428,1980,870,25161,4536,55418,117,182,7,70,84,18,14,168,3109,114,3883,3711,254,2845,0,539.73,139,61.0,1,5,1220,2109,40512,-1.0,409145,3130,1655,15488,20273,1,26,1168,1195,1014,1824,361,2716,4509,1492,618,701,26439,3961,43635,291,637,69,965,1046,690,258,177,4903,587,9623,3450,8942,1574,12917,8779,6283,3440,1949,60318,9376,117028,7,7,1,18,3,10,3,2,21,4,76,5,13,0,29,17,8,2,2,69,5,150,810,1759,202,3720,366,941,334,376,11810,545,20863,유,41794.0,27222.0,1487.0,0,360106,5595,0,0,365701,59301,2448,5503,928,7243,3781,3446,1994,1038,28270,4650
도곡정보문화도서관,공공(일반),강남구,2013-01-01,서울특별시 강남구 도곡로18길 57(도곡동),도곡정보문화도서관,37.4883101,127.0388803,02-2176-0781,https://library.gangnam.go.kr/dogoklib,(종합자료실 기준)09:00-22:00  *자료실·열람실마다 상이,"매주 월요일, 법정공휴일",5009,6432,2599,20160,9649,9115,8309,2672,44687,8629,117261,328,48,18,283,288,160,49,2571,6761,312,10818,7253,218,2845,0,1929.0,601,157.0,6,29,2399,4660,73723,-1.0,913020,4126,2791,23963,30880,2912,26,4444,7382,4608,2381,3636,13985,29787,6005,3406,14532,105896,18584,202820,662,305,19,1238,1074,301,206,146,6573,290,10814,3888,9896,2247,24906,5145,12411,13205,2477,44238,10767,129180,7,7,1,18,3,10,3,2,6460,4,6515,5,13,0,29,17,8,2,2,69,5,150,810,1759,202,13296,366,941,334,376,11810,545,30439,유,35740.0,51809.0,3313.0,11,361006,5595,5206,340000,711818,128079,5337,6480,2617,20443,9937,9275,8358,5243,51448,8941
도봉기적의도서관,공공(어린이),도봉구,2015-01-01,서울특별시 도봉구 마들로 797 (도봉동),도봉기적의도서관,37.68080449,127.0501336,02-3493-7171,http://www.unilib.dobong.kr/,평일 09:00 ~ 20:00 / 주말 09:00 ~ 17:00,"매주 화요일, 일요일을 제외한 법정공휴일   *공휴일과 겹치는 일요일은 휴관",1485,1578,293,5379,3097,2725,1138,331,24660,2571,43257,0,0,0,0,0,0,0,0,0,0,0,2984,137,3519,0,811.22,120,120.0,2,3,365,646,5377,0.0,103411,546,308,4656,5510,147,221,5519,5887,242,183,350,590,958,539,179,140,7074,789,11044,93,78,47,210,207,186,61,40,1672,215,2809,1228,1782,1165,4883,4268,3371,1130,708,37541,3803,59879,35,139,39,294,45,63,16,53,585,67,1336,52,208,59,441,68,94,24,80,878,100,2004,1302,5196,1478,11020,1690,2348,609,1991,21941,2498,50073,유,-1.0,-1.0,-1.0,0,21937,1420,3224500,0,3247857,43257,1485,1578,293,5379,3097,2725,1138,331,24660,2571
도봉문화정보도서관,공공(일반),도봉구,2001-01-01,서울특별시 도봉구 덕릉로 315 (창동) 도봉문화정보도서관,도봉문화정보도서관,37.64477544,127.0438644,02-900-1835,http://www.unilib.dobong.kr,9:00~22:00,매주 화요일 / 법정공휴일 / 기타 도서관장이 정하는 날,5581,8290,2702,23853,10354,10767,5839,3414,64987,12696,148483,32,20,6,240,40,64,14,747,2183,42,3388,6805,130,3519,0,1956.29,398,76.0,7,28,1062,2432,35470,-1.0,379227,999,594,11380,12973,147,221,5519,5887,567,510,325,1723,2172,998,390,546,13934,1666,22831,160,313,46,843,516,285,152,85,2045,188,4633,4059,8313,2186,18777,11321,9916,4403,3131,73040,10731,145877,35,139,39,294,45,63,16,53,585,67,1336,52,208,59,441,68,94,24,80,878,100,2004,1302,5196,1478,11020,1690,2348,609,1991,21941,2498,50073,유,8345.0,62009.0,2625.0,0,21937,1420,3224500,0,3247857,151871,5613,8310,2708,24093,10394,10831,5853,4161,67170,12738
도봉아이나라도서관,공공(어린이),도봉구,2008-01-01,서울특별시 도봉구 노해로69길 151 (창동),도봉아이나라도서관,37.65904725,127.0495075,02-995-4171,http://www.unilib.dobong.kr,"월,수,목,금: 09:00~20:00/ 토,일:09:00~17:00","매주 화요일, 법정공휴일",2712,2126,750,9562,9591,3814,2393,2024,41356,8025,82353,957,53,34,550,779,152,230,1878,17644,417,22694,2664,0,3519,0,998.07,272,272.0,2,3,2488,2896,12635,0.0,139098,6449,482,21570,28501,147,221,5519,5887,1004,486,321,1520,2700,795,395,1424,25494,1902,36041,25,59,5,140,122,112,38,71,1365,122,2059,2795,1652,994,6317,7313,2821,1383,3977,62571,5664,95487,35,139,39,294,45,63,16,53,585,67,1336,52,208,59,441,68,94,24,80,878,100,2004,1302,5196,1478,11020,1690,2348,609,1991,21941,2498,50073,유,-1.0,-1.0,-1.0,0,21937,1420,3224500,0,3247857,105047,3669,2179,784,10112,10370,3966,2623,3902,59000,8442
돌마리도서관,공공(일반),송파구,2014-01-01,서울특별시 송파구 백제고분로37길 16 (석촌동),석촌동주민센터 5층,37.50356529,127.1036861,02-414-7007,https://www.splib.or.kr/spdlib/index.do,"평일 09:00 ~ 22:00, 주말 09:00~18:00","매주 월요일, 법정공휴일(일요일 제외)",952,1045,434,3612,2270,1706,663,491,11066,2429,24668,0,0,0,0,0,0,0,2603,0,0,2603,1692,55,0,0,229.88,60,30.0,0,2,360,579,7876,-1.0,84150,1132,483,6410,8025,111,56,390,557,178,107,395,1327,1671,571,95,1333,4752,1132,11561,78,71,51,260,343,165,33,123,1611,280,3015,1171,1847,1410,7252,5547,3009,907,3836,25343,4089,54411,25,63,1,224,24,43,11,17,356,22,786,13,32,1,112,12,22,6,9,178,11,396,89,221,5,783,83,152,39,61,1245,76,2754,유,11900.0,14365.0,979.0,0,144406,567,0,503,145476,27271,952,1045,434,3612,2270,1706,663,3094,11066,2429
동대문구답십리도서관,공공(일반),동대문구,2014-01-01,서울특별시 동대문구 서울시립대로4길 75 (답십리동),동대문구답십리도서관,37.57319319,127.0503606,02-982-1959,https://www.l4d.or.kr/dsn/index.do,09:00~22:00(토요일 및 일요일 09:00~18:00),매주 금요일,4272,5713,1295,18052,7427,8417,3604,3086,42123,8305,102294,65,67,24,429,177,279,109,446,5577,133,7306,7494,395,1780,793,1374.75,197,36.0,1,31,1696,2217,31210,-1.0,407350,1760,954,12295,15009,348,476,35418,36242,1371,969,934,5397,6829,2381,938,2096,34677,5179,60771,487,501,93,1679,1450,716,304,528,7353,1176,14287,8724,11842,3258,33886,18919,16956,5885,7742,118474,17297,242983,11,17,0,47,2,1,1,2,267,0,348,22,59,1,70,28,11,5,7,250,22,475,2532,4215,225,7016,374,609,202,514,18580,1152,35419,유,50968.0,43949.0,2635.0,0,18207,6730,1389,465,26791,109600,4337,5780,1319,18481,7604,8696,3713,3532,47700,8438
동대문구정보화도서관,공공(일반),동대문구,2006-01-01,서울특별시 동대문구 회기로10길 60 (청량리동),동대문구정보화도서관,37.58996904,127.0472892,02-960-1959,https://www.l4d.or.kr/info/index.do,09:00~22:00(토요일 및 일요일 09:00~18:00),"매주 월요일, 법정 공휴일",7222,11306,4456,32707,9844,13785,7462,4944,63121,13068,167915,63,48,14,190,86,48,30,890,1885,184,3438,9738,590,1780,793,2010.33,167,37.0,1,58,691,1562,42558,-1.0,364076,1118,1405,10082,12605,26,37,1605,1668,643,568,674,2682,4443,1117,788,1582,12255,2409,27161,229,296,174,907,1124,601,290,372,3933,753,8679,6870,13214,4289,32345,13734,14722,5801,6225,79898,12878,189976,10,17,0,46,2,1,1,2,263,1,343,22,58,1,69,28,10,5,7,247,22,469,2493,4151,221,6909,368,600,199,506,18297,1135,34879,유,14189.0,49492.0,1200.0,0,18207,6730,1389,453,26779,171353,7285,11354,4470,32897,9930,13833,7492,5834,65006,13252
동대문책마당도서관,공공(일반),동대문구,2020-01-01,"서울특별시 동대문구 천호대로 145 (용두동), 1층",동대문구청 1층,37.57439172,127.0398966,02-2127-4116,https://www.l4d.or.kr/bml,월~금 09:00~18:00,"토, 일, 법정공휴일",543,930,286,2364,1129,1261,494,481,6871,1279,15638,0,0,0,0,0,0,0,0,0,0,0,1246,26,1780,793,303.0,92,8.0,2,2,82,45,3252,-1.0,80672,440,202,4047,4689,3,4,157,164,119,82,86,316,715,150,103,141,2373,539,4624,42,43,28,89,136,46,16,26,542,103,1071,1082,2419,998,5236,3510,3199,1202,1033,19218,3437,41334,1,2,0,4,0,0,0,0,26,0,33,2,6,0,7,3,1,0,1,24,2,46,244,406,22,677,36,59,19,50,1792,111,3416,유,4907.0,4853.0,579.0,0,18207,6730,1389,450,26776,15638,543,930,286,2364,1129,1261,494,481,6871,1279
동작영어마루도서관,공공(어린이),동작구,2008-01-01,서울특별시 동작구 장승배기로16길 98 (노량진동),동작영어마루도서관,37.50919685,126.9434278,02-823-6750,http://lib.dongjak.go.kr,"화~금:09:00-18:00, 토~일:09:00-17:00",매주 월요일,487,754,396,3272,2248,927,406,390,12240,1749,22869,168,94,113,490,740,275,316,4139,11616,569,18520,3520,20,2826,0,365.0,105,105.0,3,3,782,2630,26063,3928.0,47495,1383,351,4611,6345,1320,336,4402,6058,184,159,112,952,1484,463,194,3496,12661,860,20565,33,40,20,138,179,62,29,485,2010,135,3131,443,531,382,3478,3431,1284,566,6761,28021,2129,47026,16,14,10,82,127,40,17,299,1085,74,1764,3,3,2,12,15,5,2,42,172,12,268,38,45,33,298,294,110,48,579,2399,182,4026,유,-1.0,-1.0,-1.0,0,24930,7690,0,0,32620,41389,655,848,509,3762,2988,1202,722,4529,23856,2318
둘리도서관,공공(어린이),도봉구,2015-01-01,서울특별시 도봉구 시루봉로1길 6 (쌍문동),시루봉로 1길 6 (쌍문동),37.65243153,127.0276397,070-4291-1112,http://www.unilib.dobong.kr/main.do,10:00 ~ 17:30,"월요일, 설날 및 추석 연휴",408,299,104,1306,982,778,1418,104,9126,1078,15603,0,0,0,0,0,0,0,0,0,0,0,688,0,3519,0,344.63,100,100.0,0,1,0,0,0,0.0,31195,488,41,2765,3294,147,221,5519,5887,27,29,8,67,143,60,46,14,1322,126,1842,0,0,0,8,6,4,3,1,155,22,199,113,220,130,561,941,428,336,58,8628,949,12364,35,139,39,294,45,63,16,53,585,67,1336,52,208,59,441,68,94,24,80,878,100,2004,1302,5196,1478,11020,1690,2348,609,1991,21941,2498,50073,유,-1.0,-1.0,-1.0,0,21937,1420,3224500,0,3247857,15603,408,299,104,1306,982,778,1418,104,9126,1078
등빛도서관,공공(일반),강서구,2012-01-01,서울특별시 강서구 강서로62길 48 (등촌동),강서구립 등빛도서관,37.56245409,126.8423739,02-3664-6990,http://lib.gangseo.seoul.kr,"평일 자료실 (화~금) - 09:00 ~ 22:00, 평일 일반열람실(화~금) -07:00~22:00, 주말자료실-09:00~22:00, 주말일반열람실-07:00~22:00",매주 월요일 및 법정공휴일 ,4431,5276,1890,17305,6338,6805,3990,3004,35335,7403,91777,21,51,48,1082,900,305,231,2646,5910,500,11694,4468,8759,871,0,1273.04,448,161.0,11,13,1613,3765,48418,-1.0,287160,1560,1075,13617,16252,886,947,15694,17527,544,504,549,1751,2366,1019,428,803,12764,2068,22796,240,279,87,980,787,478,272,126,4283,697,8229,4198,7331,2302,20668,7137,7005,3997,3388,64532,9269,129827,138,34,162,843,970,684,236,1367,1982,532,6948,571,266,11,589,148,506,341,437,1204,134,4207,5623,11927,1007,27516,2852,10378,3278,7646,33083,4690,108000,유,208156.0,39869.0,10127.0,2012,157038,3150,0,0,162200,103471,4452,5327,1938,18387,7238,7110,4221,5650,41245,7903
라이브러리피치,공공(일반),종로구,2023-01-01,서울특별시 종로구 대학로10길 8 (동숭동),리브랩 B1-2층,37.58157827,127.0026179,02-6953-1230,https://www.librarypeach.org/,화-금 아침 10:00- 저녁 6:00,주말/공휴일 휴무,307,96,5,668,33,85,349,45,1730,30,3348,0,0,0,0,0,0,67,0,0,0,67,139,164,0,0,471.51,92,46.0,1,1,0,1,381,-1.0,9634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,무,230.0,1308.0,22.0,0,683,0,0,0,683,3415,307,96,5,668,33,85,416,45,1730,30
마포구립 소금나루도서관,공공(일반),마포구,2021-01-01,서울특별시 마포구 숭문길 72 (염리동),소금나루도서관,37.5495243,126.946234,02-3153-1600,https://mplib.mapo.go.kr/naru,"평일(월~목) 09:00~22:00 / 주말(토,일) 09:00~20:00 (어린이자료실은 평일 및 주말 18시까지 운영)",매주 금요일 및 법정공휴일,1940,2249,746,7434,2477,3685,1831,1259,20726,3175,45522,0,0,0,0,0,0,0,0,0,0,0,3544,75,537,0,2207.28,189,109.0,5,12,888,226,3127,-1.0,245765,2010,802,10775,13587,208,61,1532,1801,1605,561,272,4882,3953,2252,1059,2086,25922,3100,45692,228,183,48,878,626,530,298,179,4200,624,7794,4014,5495,1166,18573,8154,8820,4553,4798,61124,9304,126001,1050,471,112,1546,530,269,95,421,5999,545,11038,222,256,17,421,110,102,49,56,1381,110,2724,4783,7889,536,12606,1394,1968,884,1287,24455,1983,57785,유,101669.0,18120.0,1379.0,8,6960,1126,0,0,8094,45522,1940,2249,746,7434,2477,3685,1831,1259,20726,3175
마포구립서강도서관,공공(일반),마포구,2008-01-01,서울특별시 마포구 독막로 165 (창전동),마포구립서강도서관,37.54773525,126.9320621,02-3141-7053,https://mplib.mapo.go.kr/sglib/index.do,"종합자료실/디지털자료실 : 월, 수~금 9:00~22:00, 토~일 9:00~20:00, 어린이자료실 9:00~18:00","매주 화요일, 법정공휴일(일요일 제외)",2382,4015,1018,10640,4324,4851,3273,1026,33034,5302,69865,99,10,6,69,78,17,20,594,3234,142,4269,4966,434,537,0,1062.36,158,92.0,8,16,7427,3907,74236,-1.0,338984,1554,719,11912,14185,835,246,6130,7211,571,1113,199,2668,1587,1193,697,647,13196,1347,23218,173,336,60,806,480,361,211,195,3990,407,7019,3683,7177,1282,17206,10234,7697,4493,4171,85111,8691,149745,263,118,28,387,133,67,24,105,1450,136,2711,56,64,4,105,28,26,12,14,345,28,682,1196,1972,134,3152,349,492,221,322,6114,496,14448,유,131065.0,29729.0,1617.0,1755,6960,1126,0,0,9841,74134,2481,4025,1024,10709,4402,4868,3293,1620,36268,5444
